index;name;etype;from_bus;to_bus;length_km;r_ohm_per_km;x_ohm_per_km;c_nf_per_km ;max_i_ka;parallel;type;in_service
400290;Нура-220 - ипм;line;310;318;1;3.4;13;0.2801128;10;2;ol;TRUE
400291;БАРНАУЛ-500 - АЛТАЙ;line;1630;1660;1;0.26;2.64;0.10536061;10;1;ol;FALSE
400292;БАРНАУЛ-500 - АЛТАЙ;line;1630;1660;1;0.19;1.97;0.07862257;10;2;ol;FALSE
400293;тэц-3 - ипм;line;383;318;1;0.3;1.3;0.0254648;10;2;ol;TRUE
400294;тэц-3 - ипм;line;383;318;1;0.3;1.3;0.0254648;10;1;ol;TRUE
400295;ЭКИБАСТУЗСКАЯ - СЕМЕЙ-500;line;26;980;1;10.1;122.52;4.85040778;10;1;ol;FALSE
400296;Чуйская - Кемин;line;2932;2952;1;5.77;24.85;0.507895436;10;1;ol;TRUE
400297;пс-18 - Семей-220;line;218;981;1;0.37;3.88;0.10026765;10;2;ol;FALSE
400298;СЕМЕЙ-500 - АКТОГАЙ;line;980;986;1;9.84;120.42;4.53464426;10;1;ol;FALSE
400299;грэс-2 - Коунрад-220;line;355;481;1;34.2;146.2;3.00293654;10;2;ol;FALSE
400300;СЕМЕЙ-500 - УСТЬ-КАМЕНОГРСКАЯ-500;line;980;240;1;5.72;58.55;2.29437848;10;1;ol;FALSE
400301;шгэс-220 - Семей-220;line;220;981;1;2.57;25.36;1.1077188;10;2;ol;FALSE
400302;АКТОГАЙ - ТАЛДЫКОРГАН-500;line;986;987;1;8.33;88.52;3.29355357;10;1;ol;FALSE
400303;БЕРКУТ   - ТЮМЕНЬ  ;line;4728;4730;1;1.28;11.38;0.31831;10;1;ol;FALSE
400304;КУРГАН - БЕРКУТ  ;line;4727;4728;1;5;46.8;1.8525642;10;1;ol;FALSE
400305;Нура-220 - Металлургическая;line;310;384;1;1.56;6.2;0.12923386;10;2;ol;FALSE
400306;Металлургическая - отпайка-5;line;384;315;1;2.65;10.4;0.20658319;10;1;ol;FALSE
400307;Мойнакская гэс-220 - Робот;line;935;907;1;17.1000003815;95.6999969482;1.9576065837;10;1;ol;FALSE
400308;тэц-3 - отпайка-5;line;383;315;1;0.2;0.9;0.01846198;10;1;ol;FALSE
400309;Мойнакская гэс-220 - Чилик;line;935;911;1;7.3000001907;40.9000015259;0.8371552823;10;1;ol;FALSE
400310;Таугуль - Ерменсай;line;929;942;1;1.3999999762;5.0999999046;0.0974028606;10;1;ol;FALSE
400311;Таугуль - Ерменсай;line;929;942;1;1.3999999762;5.0999999046;0.0974028606;10;2;ol;FALSE
400312;ВИТЯЗЬ - ВОСХОД;line;1852;1853;1;8.56;102.65;4.15012578;10;1;ol;FALSE
400313;ВОСХОД - ТАВРИЧЕСКАЯ;line;1853;1817;1;2.1;21.85;0.87089616;10;1;ol;FALSE
400314;ВОСХОД - БАРАБИНСКАЯ;line;1853;9917;1;8.43;86.95;3.46193956;10;1;ol;FALSE
400315;шгэс-220 - жгок;line;220;222;1;8.76;30.7999992371;0.6445777482;10;1;ol;FALSE
400316;Металлургическая - отпайка-4;line;384;314;1;2.65;10.4;0.20658319;10;1;ol;FALSE
400317;АЛТАЙ - ЗАРЯ    ;line;1660;1631;1;5.46;50.12;2.1072122;10;1;ol;FALSE
400318;тэц-3 - отпайка-4;line;383;314;1;0.2;0.9;0.01846198;10;1;ol;FALSE
400319;МАГНИТОГОРСКАЯ - ТРОИЦКАЯ ГРЭС;line;4785;4799;1;6.2;54.6;2.4350715;10;1;ol;FALSE
400320;КОЗЫРЕВО - ШАГОЛ   ;line;4703;4782;1;1.96;16.2;0.6939158;10;1;ol;FALSE
